payment_id,loan_id,payment_date,payment_amount,payment_method,is_delayed
1,1,2020-05-14 14:49:42,550685.0833,Cheque,0
2,1,2020-06-14 14:49:42,550685.0833,Cheque,0
3,1,2020-07-14 14:49:42,550685.0833,Cheque,0
4,1,2020-08-14 14:49:42,550685.0833,Cheque,0
5,1,2020-09-14 14:49:42,550685.0833,Online,0
6,1,2020-10-14 14:49:42,550685.0833,Cheque,0
7,1,2020-11-14 14:49:42,550685.0833,Online,0
8,1,2020-12-14 14:49:42,550685.0833,Online,1
9,1,2021-01-14 14:49:42,550685.0833,Online,0
10,1,2021-02-14 14:49:42,550685.0833,Cheque,0
11,1,2021-03-14 14:49:42,550685.0833,Online,0
12,1,2021-04-14 14:49:42,550685.0833,Online,0
13,2,2023-01-18 18:56:07,37708.5,Cheque,0
14,2,2023-02-18 18:56:07,37708.5,Online,0
15,2,2023-03-18 18:56:07,37708.5,Online,0
16,2,2023-04-18 18:56:07,37708.5,Cheque,0
17,2,2023-05-18 18:56:07,37708.5,Cash,0
18,2,2023-06-18 18:56:07,37708.5,Online,1
19,2,2023-07-18 18:56:07,37708.5,Online,0
20,2,2023-08-18 18:56:07,37708.5,Cash,0
21,2,2023-09-18 18:56:07,37708.5,Cheque,0
22,2,2023-10-18 18:56:07,37708.5,Online,0
23,2,2023-11-18 18:56:07,37708.5,Cheque,0
24,2,2023-12-18 18:56:07,37708.5,Cash,0
25,2,2024-01-18 18:56:07,37708.5,Online,0
26,2,2024-02-18 18:56:07,37708.5,Cash,0
27,2,2024-03-18 18:56:07,37708.5,Cheque,0
28,2,2024-04-18 18:56:07,37708.5,Cheque,0
29,2,2024-05-18 18:56:07,37708.5,Online,0
30,2,2024-06-18 18:56:07,37708.5,Online,1
31,2,2024-07-18 18:56:07,37708.5,Cash,0
32,2,2024-08-18 18:56:07,37708.5,Online,0
33,2,2024-09-18 18:56:07,37708.5,Online,1
34,2,2024-10-18 18:56:07,37708.5,Cash,1
35,2,2024-11-18 18:56:07,37708.5,Cash,0
36,2,2024-12-18 18:56:07,37708.5,Online,0
37,2,2025-01-18 18:56:07,37708.5,Online,0
38,2,2025-02-18 18:56:07,37708.5,Cheque,0
39,2,2025-03-18 18:56:07,37708.5,Online,0
40,2,2025-04-18 18:56:07,37708.5,Cheque,0
41,2,2025-05-18 18:56:07,37708.5,Cash,0
42,2,2025-06-18 18:56:07,37708.5,Cheque,0
43,2,2025-07-18 18:56:07,37708.5,Online,0
44,2,2025-08-18 18:56:07,37708.5,Online,0
45,2,2025-09-18 18:56:07,37708.5,Cheque,1
46,2,2025-10-18 18:56:07,37708.5,Online,0
47,2,2025-11-18 18:56:07,37708.5,Online,0
48,2,2025-12-18 18:56:07,37708.5,Cash,0
49,3,2020-11-05 01:53:45,61491.95833,Cheque,0
50,3,2020-12-05 01:53:45,61491.95833,Online,0
51,3,2021-01-05 01:53:45,61491.95833,Cash,0
52,3,2021-02-05 01:53:45,61491.95833,Cash,0
53,3,2021-03-05 01:53:45,61491.95833,Cheque,0
54,3,2021-04-05 01:53:45,61491.95833,Cheque,0
55,3,2021-05-05 01:53:45,61491.95833,Cash,0
56,3,2021-06-05 01:53:45,61491.95833,Cheque,0
57,3,2021-07-05 01:53:45,61491.95833,Cheque,0
58,3,2021-08-05 01:53:45,61491.95833,Online,0
59,3,2021-09-05 01:53:45,61491.95833,Online,0
60,3,2021-10-05 01:53:45,61491.95833,Cash,0
61,3,2021-11-05 01:53:45,61491.95833,Cheque,0
62,3,2021-12-05 01:53:45,61491.95833,Cash,1
63,3,2022-01-05 01:53:45,61491.95833,Cash,0
64,3,2022-02-05 01:53:45,61491.95833,Cheque,0
65,3,2022-03-05 01:53:45,61491.95833,Cash,0
66,3,2022-04-05 01:53:45,61491.95833,Cheque,0
67,3,2022-05-05 01:53:45,61491.95833,Cheque,1
68,3,2022-06-05 01:53:45,61491.95833,Online,0
69,3,2022-07-05 01:53:45,61491.95833,Cash,1
70,3,2022-08-05 01:53:45,61491.95833,Online,0
71,3,2022-09-05 01:53:45,61491.95833,Cheque,0
72,3,2022-10-05 01:53:45,61491.95833,Cash,0
73,3,2022-11-05 01:53:45,61491.95833,Cash,1
74,3,2022-12-05 01:53:45,61491.95833,Cheque,0
75,3,2023-01-05 01:53:45,61491.95833,Online,0
76,3,2023-02-05 01:53:45,61491.95833,Online,0
77,3,2023-03-05 01:53:45,61491.95833,Cheque,1
78,3,2023-04-05 01:53:45,61491.95833,Cash,0
79,3,2023-05-05 01:53:45,61491.95833,Cash,0
80,3,2023-06-05 01:53:45,61491.95833,Cheque,0
81,3,2023-07-05 01:53:45,61491.95833,Cheque,0
82,3,2023-08-05 01:53:45,61491.95833,Cheque,0
83,3,2023-09-05 01:53:45,61491.95833,Cash,0
84,3,2023-10-05 01:53:45,61491.95833,Online,0
85,3,2023-11-05 01:53:45,61491.95833,Cheque,0
86,3,2023-12-05 01:53:45,61491.95833,Cash,0
87,3,2024-01-05 01:53:45,61491.95833,Cash,0
88,3,2024-02-05 01:53:45,61491.95833,Cash,0
89,3,2024-03-05 01:53:45,61491.95833,Cheque,1
90,3,2024-04-05 01:53:45,61491.95833,Cheque,0
91,3,2024-05-05 01:53:45,61491.95833,Cheque,1
92,3,2024-06-05 01:53:45,61491.95833,Online,0
93,3,2024-07-05 01:53:45,61491.95833,Online,0
94,3,2024-08-05 01:53:45,61491.95833,Cash,1
95,3,2024-09-05 01:53:45,61491.95833,Cash,0
96,3,2024-10-05 01:53:45,61491.95833,Cash,0
97,4,2021-12-10 11:15:11,62842.125,Cheque,0
98,4,2022-01-10 11:15:11,62842.125,Cash,0
99,4,2022-02-10 11:15:11,62842.125,Cash,0
100,4,2022-03-10 11:15:11,62842.125,Online,0
101,4,2022-04-10 11:15:11,62842.125,Online,1
102,4,2022-05-10 11:15:11,62842.125,Cash,0
103,4,2022-06-10 11:15:11,62842.125,Cash,0
104,4,2022-07-10 11:15:11,62842.125,Cash,0
105,4,2022-08-10 11:15:11,62842.125,Cheque,0
106,4,2022-09-10 11:15:11,62842.125,Cash,1
107,4,2022-10-10 11:15:11,62842.125,Online,0
108,4,2022-11-10 11:15:11,62842.125,Online,0
109,4,2022-12-10 11:15:11,62842.125,Cash,0
110,4,2023-01-10 11:15:11,62842.125,Cash,0
111,4,2023-02-10 11:15:11,62842.125,Online,0
112,4,2023-03-10 11:15:11,62842.125,Cash,0
113,4,2023-04-10 11:15:11,62842.125,Cash,0
114,4,2023-05-10 11:15:11,62842.125,Cheque,0
115,4,2023-06-10 11:15:11,62842.125,Cheque,0
116,4,2023-07-10 11:15:11,62842.125,Cash,0
117,4,2023-08-10 11:15:11,62842.125,Cash,0
118,4,2023-09-10 11:15:11,62842.125,Online,0
119,4,2023-10-10 11:15:11,62842.125,Cheque,0
120,4,2023-11-10 11:15:11,62842.125,Online,0
121,4,2023-12-10 11:15:11,62842.125,Online,0
122,4,2024-01-10 11:15:11,62842.125,Cash,0
123,4,2024-02-10 11:15:11,62842.125,Online,1
124,4,2024-03-10 11:15:11,62842.125,Cash,0
125,4,2024-04-10 11:15:11,62842.125,Cash,0
126,4,2024-05-10 11:15:11,62842.125,Online,0
127,4,2024-06-10 11:15:11,62842.125,Cheque,0
128,4,2024-07-10 11:15:11,62842.125,Cheque,0
129,4,2024-08-10 11:15:11,62842.125,Cheque,0
130,4,2024-09-10 11:15:11,62842.125,Online,0
131,4,2024-10-10 11:15:11,62842.125,Cheque,0
132,4,2024-11-10 11:15:11,62842.125,Cheque,0
133,4,2024-12-10 11:15:11,62842.125,Cheque,0
134,4,2025-01-10 11:15:11,62842.125,Cheque,0
135,4,2025-02-10 11:15:11,62842.125,Cheque,0
136,4,2025-03-10 11:15:11,62842.125,Cash,0
137,4,2025-04-10 11:15:11,62842.125,Cheque,0
138,4,2025-05-10 11:15:11,62842.125,Cash,0
139,4,2025-06-10 11:15:11,62842.125,Cash,0
140,4,2025-07-10 11:15:11,62842.125,Cheque,0
141,4,2025-08-10 11:15:11,62842.125,Cheque,1
142,4,2025-09-10 11:15:11,62842.125,Online,0
143,4,2025-10-10 11:15:11,62842.125,Online,0
144,4,2025-11-10 11:15:11,62842.125,Cash,0
145,5,2020-06-29 09:42:06,62644.23333,Cash,0
146,5,2020-07-29 09:42:06,62644.23333,Cheque,0
147,5,2020-08-29 09:42:06,62644.23333,Online,0
148,5,2020-09-29 09:42:06,62644.23333,Cheque,0
149,5,2020-10-29 09:42:06,62644.23333,Cash,0
150,5,2020-11-29 09:42:06,62644.23333,Online,0
151,5,2020-12-29 09:42:06,62644.23333,Online,1
152,5,2021-01-29 09:42:06,62644.23333,Cash,0
153,5,2021-02-28 09:42:06,62644.23333,Cash,0
154,5,2021-03-29 09:42:06,62644.23333,Cheque,0
155,5,2021-04-29 09:42:06,62644.23333,Online,0
156,5,2021-05-29 09:42:06,62644.23333,Online,0
157,5,2021-06-29 09:42:06,62644.23333,Online,0
158,5,2021-07-29 09:42:06,62644.23333,Online,0
159,5,2021-08-29 09:42:06,62644.23333,Cash,0
160,5,2021-09-29 09:42:06,62644.23333,Cash,0
161,5,2021-10-29 09:42:06,62644.23333,Cash,0
162,5,2021-11-29 09:42:06,62644.23333,Cheque,0
163,5,2021-12-29 09:42:06,62644.23333,Cheque,1
164,5,2022-01-29 09:42:06,62644.23333,Online,0
165,5,2022-02-28 09:42:06,62644.23333,Online,0
166,5,2022-03-29 09:42:06,62644.23333,Online,0
167,5,2022-04-29 09:42:06,62644.23333,Cash,0
168,5,2022-05-29 09:42:06,62644.23333,Online,0
169,5,2022-06-29 09:42:06,62644.23333,Cash,0
170,5,2022-07-29 09:42:06,62644.23333,Cash,0
171,5,2022-08-29 09:42:06,62644.23333,Cheque,0
172,5,2022-09-29 09:42:06,62644.23333,Online,0
173,5,2022-10-29 09:42:06,62644.23333,Cash,0
174,5,2022-11-29 09:42:06,62644.23333,Online,0
175,5,2022-12-29 09:42:06,62644.23333,Cheque,0
176,5,2023-01-29 09:42:06,62644.23333,Online,0
177,5,2023-02-28 09:42:06,62644.23333,Online,0
178,5,2023-03-29 09:42:06,62644.23333,Cash,0
179,5,2023-04-29 09:42:06,62644.23333,Cheque,0
180,5,2023-05-29 09:42:06,62644.23333,Online,0
181,5,2023-06-29 09:42:06,62644.23333,Online,0
182,5,2023-07-29 09:42:06,62644.23333,Cheque,0
183,5,2023-08-29 09:42:06,62644.23333,Cash,0
184,5,2023-09-29 09:42:06,62644.23333,Cheque,1
185,5,2023-10-29 09:42:06,62644.23333,Cash,0
186,5,2023-11-29 09:42:06,62644.23333,Cash,0
187,5,2023-12-29 09:42:06,62644.23333,Cash,0
188,5,2024-01-29 09:42:06,62644.23333,Online,0
189,5,2024-02-29 09:42:06,62644.23333,Cheque,0
190,5,2024-03-29 09:42:06,62644.23333,Online,0
191,5,2024-04-29 09:42:06,62644.23333,Cheque,0
192,5,2024-05-29 09:42:06,62644.23333,Cash,0
193,5,2024-06-29 09:42:06,62644.23333,Online,0
194,5,2024-07-29 09:42:06,62644.23333,Cheque,0
195,5,2024-08-29 09:42:06,62644.23333,Online,0
196,5,2024-09-29 09:42:06,62644.23333,Online,0
197,5,2024-10-29 09:42:06,62644.23333,Online,0
198,5,2024-11-29 09:42:06,62644.23333,Cash,0
199,5,2024-12-29 09:42:06,62644.23333,Cheque,0
200,5,2025-01-29 09:42:06,62644.23333,Cheque,0
201,5,2025-02-28 09:42:06,62644.23333,Online,0
